Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
15047;Morillons - Dantzig;52;48.83310149953933,2.299380004405976
17032;Jean Oestreicher - Porte de Champerret;21;48.88655580065981,2.288640439510346
8016;Square Louis XVI;29;48.87320440102894,2.323658830743138
18011;Pajol - Place Herbert;39;48.8927825,2.3635598
19103;Manin - Carrières d'Amérique;20;48.88467214209463,2.3919698596000676
15105;Fédération - Suffren;25;48.852828153442346,2.2978776320815086
35002;Jean Jaurès - Presles;30;48.90713441498779,2.396005728053061
9116;Victoire - Chaussée d'Antin;24;48.875065791004396,2.3316738009452824
20134;Lieutenant Chauré - Etienne Marey;20;48.86746195408435,2.405970990657807
12024;Gare de Bercy;35;48.839794573906,2.3826066032052
20021;Indre - Prairies;38;48.86254398506782,2.403290458023548
20116;Haies - Réunion;22;48.85386896766491,2.402426162238911
12004;Traversière - Ledru-Rollin;34;48.850735824128805,2.375870111706245
45001;Hôtel de Ville de Champigny sur Marne;21;48.813810628405,2.5096759200096
13041;Porte d'Ivry;50;48.82176874759649,2.3688706755638127
18042;Place Pigalle;21;48.8827555,2.3361566
20019;Place du Maquis du Vercors;31;48.877321579493575,2.4083782732486725
15063;Convention - Saint-Charles;19;48.84315611111599,2.2831090539693832
11003;Keller - La Roquette;34;48.8555508,2.3752778
47002;Les Juilliottes;21;48.8043072,2.4437362
11107;Faidherbe - Dahomey;44;48.851358329771806,2.383823134795429
11110;Roquette - Folie Regnault;52;48.859246959155485,2.386553623578705
12127;Tremblay - Lac des Minimes;48;48.834131261494356,2.454751655459404
20002;Square de la rue Pixérécourt;15;48.8736824,2.3960278
5029;Georges Bernanos - Port Royal;30;48.84014521347377,2.3373574018478394
9036;Athènes - Clichy;20;48.878113787876,2.32956021945824
31025;Paul Signac - Aristide Briand;35;48.86950262156371,2.4502260982990265
4003;Quai aux Fleurs - Pont Saint-Louis;21;48.85291595620935,2.352195717394352
21217;Louis Rolland - République;26;48.81710889740748,2.3193106434955717
16002;Pergolèse - Malakoff;38;48.87521088779225,2.2842781618237495
23010;Voltaire - Anatole France;27;48.891999360256904,2.284262739121914
11017;Charonne - Bureau;47;48.854176,2.396093
15011;Cambronne - Villa Croix Nivert;62;48.84584756136587,2.3017574474215508
5024;Place Monge;21;48.842761803051346,2.3524079471826553
9011;Geoffroy - Marie;20;48.873781940593325,2.344513876337893
21303;Jean Monnet - Iles;32;48.823393984057304,2.2497073194874866
13035;Choisy - Tolbiac;26;48.82591155587,2.3602393269539
14031;Didot - Place de Moro-Giafferi;22;48.8337,2.3215
33012;Landy - Heurtault;30;48.915096534520316,2.375951372087002
18039;Jardins d'Eole;20;48.8869703,2.3668488
14026;Plantes - Moulin Vert;45;48.83005755305626,2.3232302069664006
10032;Claude Vellefaux - Hôpital Saint-Louis;32;48.87285913900304,2.370071706985146
12156;Niger - Soult;24;48.84369906369085,2.410361237220498
32013;Saint-Denis - Université;24;48.94563430946964,2.3638297989964485
12002;Lacuée - Lyon;16;48.849268481958404,2.370458543300628
21953;Gare de Bellevue;20;48.8192404685572,2.2295309230685234
24006;Adolphe Lalyre - Armand Silvestre;40;48.90406266961591,2.273416221141815
15062;Convention - Lourmel;36;48.84205504165568,2.2859910875558853
33020;Waldeck Rochet - Germaine Tillon;31;48.91105960199651,2.3676301538944244
27001;Square Victor Basch;20;48.91430486226092,2.2289156913757324
1023;Saint-Honoré - Musée du Louvre;22;48.86344313284792,2.3348781846405102
13049;Vincent Auriol - Louise Weiss;22;48.834001935501,2.3703888058662
19114;Manin - Secrétan;20;48.8791665,2.3787959
8018;Saint-Augustin;31;48.8762009747008,2.319786250591278
9025;Taitbout - Châteaudun;39;48.876383969379,2.335356677933531
21022;Dôme - République;25;48.832681,2.250257
12008;Hector Malot - Daumesnil;54;48.84693552991762,2.3770876228809357
25004;Marcel Pourtout - Édouard Manet;24;48.87555620763429,2.1655967831611638
17006;Guy Môquet - Compoint;36;48.89213559044868,2.32321947813034
20033;Etienne Dolet - Place Maurice Chevalier;33;48.86798303359366,2.3851405311143026
19007;Flandre - Ourcq;30;48.89260159189023,2.3790915682911873
21016;Point du Jour - Jean Jaurès;26;48.828753141436465,2.245911467014621
17050;Batignolles - Abel Truchet;28;48.88310390458221,2.323834749088381
44010;8 Mai 1945 - 10 Juillet 1940;30;48.784567029674,2.3979035764933
15032;Félix Faure - Lourmel;58;48.83868901709515,2.2818081825971603
23205;Parc des Pierrettes;23;48.7973062,2.2909969
17010;Jonquière - Docteur Paul Brousse;40;48.894799816683985,2.318705212173216
18024;Clignancourt - Ordener;35;48.891457726153774,2.348636478060487
10013;Alibert - Jemmapes;60;48.8710440519842,2.366104461987773
17025;Chazelles - Courcelles;35;48.879406604954,2.3034455627202988
8050;Boétie - Ponthieu;33;48.871417284354834,2.307678759098053
14002;Edgar Quinet - Raspail;46;48.83940266673835,2.32971478253603
14020;Cimetière de Montrouge;58;48.822009,2.322188699
31102;Boissière - Etienne Dolet;21;48.876111,2.4677312
11030;Oberkampf - République;24;48.865316087070475,2.3761147849099955
5123;Saint-Germain - Thenard;31;48.850571,2.3471015
23009;Anatole France - Louise Michel;50;48.88873214926474,2.2881576418876652
16124;Route de Sèvres - Porte de Bagatelle;66;48.87525984132485,2.249415814876557
92003;Chanzy - Sud-Est;25;48.888912037698766,2.195632159709931
14001;Edgar Quinet - Gaité;27;48.84116092896631,2.32459545135498
20136;Henri Chevreau - Couronnes;27;48.87033205312931,2.388777695596218
11101;Charles Delescluze;49;48.85242200848887,2.380632497370243
11020;Belfort - Voltaire;39;48.8563358,2.3829901
13043;Dunois - Clisson;51;48.832294,2.3674523
9023;Laffitte - Italiens;33;48.871815737396304,2.337201547845077
15002;Maine - Antoine Bourdelle;17;48.84308531746595,2.320263946784738
20030;Ménilmontant - Père Lachaise;56;48.86328729150227,2.3869940266013145
15058;Place du Moulin de Javel;45;48.84021670922037,2.2716060653328896
21024;Billancourt - Général Leclerc;22;48.8322649,2.2380413
10163;Gare du Nord - Demarquay;30;48.881154,2.358411
8105;François 1er - Lincoln;31;48.86951797934417,2.302426218841562
17005;Brochant - Clichy;53;48.89032998912038,2.319730559929781
11012;Montreuil - Voltaire;34;48.85050701184191,2.393075558274471
21951;Place Centrale;22;48.78740167690531,2.2278830409049992
44103;Pont De Charenton;18;48.8179685,2.4199531
16014;Eylau - Trocadéro;24;48.863354122370744,2.2864209115505223
21203;Place Jules Ferry;28;48.812107928414775,2.325837314128876
15052;Convention - Vaugirard;48;48.83767682233156,2.295586926020252
31021;Résistance - Hoche;29;48.864273423741956,2.435784414410591
21031;Cimetière de Boulogne-Billancourt;40;48.830764,2.252024
43001;Paris - Laitières;22;48.84630274151258,2.4207553267478947
14010;Jean Moulin - Place Victor et Hélène Basch;41;48.82764910240992,2.326196730136872
22408;Place du 14 Juillet;22;48.8192669595252,2.30119988322258
33015;Charles Tillon - Cimetière Communal;30;48.91844023641836,2.3935630917549138
22015;Île de la Jatte;23;48.894036161302104,2.2666339203715324
18030;Joseph Dijon - Ornano;37;48.89374453351521,2.3476678133010864
4010;Saint-Antoine Sévigné;26;48.8550222,2.3612322
20044;Davout - Volga;28;48.852919679957296,2.410522909779111
15001;Gare Montparnasse - Arrivée;43;48.843827994314886,2.3225811123847966
10038;Place du Colonel Fabien;27;48.8775683208602,2.369879186153412
14135;Jourdan - Cité Universitaire;39;48.819897343156676,2.3397007964124366
3010;Beaubourg - Michel-le-Comte;17;48.862534941805855,2.354310303926468
13125;Gare d'Austerlitz - Pont Charles de Gaulle;55;48.842319830109304,2.3670300096273422
4101;Bastille - Beaumarchais;23;48.85383346385182,2.3685702681541443
2012;Choiseul - Quatre Septembre;44;48.8699355331869,2.3359975218772893
4015;Mairie du 4ème;44;48.85594991049653,2.3563823103904724
3007;Archives - Pastourelle;28;48.8623615,2.3595041
2022;Saint-Fiacre - Poissonière;35;48.87082891155797,2.3459213599562645
23206;Béranger - Félix Faure;28;48.80404828621485,2.2848263373723436
5027;Gobelins - Port-Royal;40;48.83713590026284,2.3515201359987254
34011;Clef des Champs - Albert Dhalenne;28;48.914938,2.330665
12119;Dom-Pérignon - Gravelle;50;48.82548157443457,2.4098803102970128
48006;Maxime Gorki - Paul Vaillant-Couturier;20;48.79673508795443,2.3683342337608337
10003;Hauteville - Bonne Nouvelle;17;48.87077436024043,2.349649636832728
17117;Pereire - Saussure;32;48.88822907547811,2.310129627585411
11028;Guillaume Bertrand - République;38;48.86382517434147,2.38090637715497
21107;Bertrand Sincholle - Henri Barbusse;23;48.89925982394349,2.3042294383049016
42027;Verdun - Pierre et Marie Curie;26;48.812822398263286,2.3707106709480286
41212;Nungesser - Santé;22;48.852335,2.448967
31303;Simone Signoret - Paris;28;48.903600624712865,2.465406596265139
21216;Louis Lejeune - Barbès;25;48.81807418981508,2.3267009854316716
13030;Italie - Tolbiac;21;48.82557229464416,2.3576171323657036
19027;Serrurier;18;48.8804934032465,2.39806417375803
18107;Chartres - La Charbonnière;34;48.8847601,2.3534657
20037;Gambetta - Saint Fargeau;24;48.871244610447015,2.4039056897163396
15109;Cevennes - Bergers;29;48.84240765130395,2.281037718057633
18022;Marcadet - Barbès;37;48.89045112096476,2.349057392968696
41404;Carnot - Pâquerettes;26;48.79592939432515,2.4261841177940373
25003;Henri Ste-Claire Déville - Paul Héroult;24;48.892663,2.172411
16038;Molitor - Chardon-Lagache;34;48.84520880183234,2.2656840831041336
16040;Exelmans - Michel-Ange;33;48.84309486651855,2.2597770800669053
9005;Square d'Anvers;33;48.882633484310816,2.344884406212207
42015;Place Jean Ferrat;25;48.8184945213025,2.3744174838066106
17007;Navier - Epinettes;36;48.89587780769155,2.3226776719093327
31012;Place Carnot;25;48.85593932186797,2.441531717777252
31702;Pierre et Marie Curie - Julien Grimau;18;48.870714014863225,2.424097023904324
10015;Lucien Sampaix - Récollets;46;48.874330377560476,2.3621229082345963
5026_Relais;Pascal - Claude Bernard;0;48.838669597915114,2.349754571914673
9115;Milton - Manuel;22;48.878249,2.341181
35014;Charles de Gaulle - Jean Lolive;26;48.8932644350857,2.4126765131950383
21310;Kléber - Gouverneur Général Eboué;24;48.826885843069796,2.2723413258790965
20016;Pyrénées - Maraîchers;19;48.85714001395299,2.4043509364128113
6032;Sabot - Rennes;26;48.852575112948415,2.331552766263485
7013;Duroc - Place de Breteuil;42;48.84746064114221,2.3126140236854558
2001;Greneta - Sebastopol;32;48.86524233322809,2.3516669869422917
11019;Charonne - Philippe-Auguste;32;48.85560316202584,2.390546390619984
6014;Pont de Lodi - Dauphine;23;48.855296898603285,2.339947307565249
4109;Mornay - Sully;15;48.84970399548416,2.364460788667202
3101;Porte Saint-Martin;35;48.86860172112996,2.35570102930069
21952;Place Tony de Graaff;42;48.8181645,2.2458109
8029;Place du Canada;39;48.865346269362675,2.310193787964762
35004;Place du Président Salvador Allende;60;48.897307310356055,2.40079153681279
13020;Paul Klee - Place Augusta Holmes;43;48.838946417408025,2.3704235663952966
6024;Saint-Germain-des-Prés;26;48.85418510815204,2.330305874347687
21028;Pierre Lefaucheux - Traversière;35;48.82435208303827,2.2417913004755974
13011;Hôpital - Campo-Formio;16;48.835405,2.358218
21204;Estienne d'Orves - Henri Ginoux;31;48.815388220397274,2.320886790760933
16011;Victor Hugo - La Pompe;41;48.86795222470859,2.28146318346262
17107;Berthier - Place Stuart Merril;37;48.885927922355044,2.2933450341224675
15311;Quai du Président Roosevelt - Pont Aval;30;48.8343883676388,2.2656820714473724
17119;Toqueville - Cardinet;33;48.88490187110713,2.3109393194317818
12005;Crozatier - Faubourg Saint-Antoine;29;48.8504400134045,2.37890136621104
12155;Rottembourg - Général Michel Bizot;43;48.83787825992554,2.4044052511453633
15129;Hôpital Necker;40;48.846043490118454,2.313245013356209
6010;Chevreuse - Montparnasse;15;48.841739161230905,2.331552216736739
13005;Cordelières - Arago;46;48.83548071896613,2.348572461702221
10009;Mairie du 10ème;19;48.87208944990723,2.357582598924637
2005;Montmartre - Etienne Marcel;16;48.865021945810085,2.345068440144759
3012;Square Emile - Chautemps;25;48.86743372423056,2.353635728359223
3006;Mairie du 3ème;32;48.86446178139141,2.361762821674347
42211;Séminaire de Conflans - Liberté;26;48.823194,2.404179
21509;Gardenat Lapostol - Franklin Roosevelt;24;48.871839,2.222505
3002;Saint-Gilles - Turenne;18;48.85815895677863,2.364714992099186
23101;Grande Rue - Europe;25;48.8218104687602,2.205879874527455
48008;Guy Môquet - Parvis Georges Marchais;30;48.79518840095975,2.35943466424942
2109;Réaumur - Montmartre;19;48.86823099975891,2.343826033887573
23301;Les Blagis;27;48.785205,2.302526
10166;Strasbourg - Saint-Denis;16;48.86960164243346,2.35429085791111
18010;Riquet - Marx Dormoy;29;48.89021003702031,2.3601756244897842
15041;Franquet - Labrouste;37;48.83287705011431,2.306762784719467
13120;Pierre Joseph Desault;19;48.82110230800372,2.378775402903557
21021;Enfants du Paradis - Peupliers;40;48.83312268645377,2.2571459412574773
20106;Mairie du 20ème;27;48.86530232427545,2.3990669846534733
18018;Carpeaux - Place Jacques Froment;19;48.8906542,2.3309428
16022;Jean Bologne - Passy;19;48.857566889784465,2.280027395306772
21033;Sèvres - Maréchal Juin;18;48.8324305,2.2292812
10028;Gare du Nord - Dunkerque;29;48.88042350842878,2.3527636751532555
16140;Hippodrome de Longchamp;30;48.86413226532,2.239905372262
9029;Saint-Lazare - Place d'Estienne d'Orves;39;48.8768345,2.3329067
32023;Guy Môquet - Jean Moulin;30;48.940931521020836,2.363948999931771
9035;Gare Saint-Lazare - Place de Budapest;44;48.877753,2.327339
26009;Marceau Delorme - Pierre Brossolette;28;48.91206062860357,2.295897423568745
8103;Artois - Berri;23;48.87393521240818,2.3064258322119713
18111;Félix Ziem - Armand Gauthier;25;48.88949630486821,2.333393658804396
9106;Boudreau - Auber;14;48.87219,2.329423
17040;Pereire - Ternes;48;48.87973954830735,2.288012132048607
5020;Institut du Monde Arabe - Saint-Germain;40;48.84906329950134,2.3558086529374123
12111;Claude Decaen - Cannebière;27;48.83761417037952,2.397253782195704
6006;Notre-Dame-des-Champs - Stanislas;19;48.84479928858768,2.329337755887181
18003;Cimetière de Montmartre;43;48.886472466141925,2.3328901827335358
12114;Victor Hugo - Jeanne Jugan;28;48.843949064031825,2.415081394834419
46003;Conservatoire de Musique;25;48.77093586667601,2.4034014344215398
18031;Place Albert Kahn;46;48.8957969797804,2.345585584134864
44013;Edouard Tremblay - Julian Grimau;30;48.78138382511671,2.3723508417606354
14012;Sibelle - Alésia;25;48.826701758539215,2.3384983465075493
41202;Gare Rer de Fontenay sous Bois;61;48.8436279,2.4630465
1119;Cossonnerie - Sébastopol;24;48.86132665908402,2.349419631063938
17031;Place de la Porte de Champerret;28;48.88561741628322,2.290781411279206
41601;Général De Gaulle - Alouette;26;48.839109,2.4175664
14110;Abbé Carton - Plantes;25;48.827673823165846,2.320918142795563
11024;Mairie du 11ème;51;48.858925,2.3789759
22006;Pierret - Madrid;28;48.882976576876565,2.260125767248034
5006;Saint-Jacques - Soufflot;19;48.8465255,2.343099
8035;Bienfaisance - Place de Narvik;36;48.87660163459077,2.3129771277308464
15010;Square Cambronne;59;48.847566545259745,2.3025691509246826
20119;Square des Saint-Simoniens;25;48.8701796,2.3967273
10005;Petites Ecuries - Faubourg Poissonnière;18;48.87397217237368,2.348388757504776
5026;Pascal - Claude Bernard;49;48.839061952159746,2.3499782010912895
21111;Professeur René Leriche - Général Leclerc;50;48.90782845483013,2.307887971401215
13016;Primo Levi - Frigos;34;48.83094844846017,2.37965351592796
21003;Jean Jaurès - Jean Baptiste Clément;24;48.84576261454011,2.2369650006294255
32001;Proudhon - Président Wilson;30;48.90644276349534,2.3584905266761784
6017;Sénat - Condé;33;48.84954227788459,2.337939441204071
8056;Beaujon - Wagram;29;48.87535245598514,2.2964416444301605
20017;Saint-Blaise - Mouraud;27;48.85696177597818,2.40869477391243
8015;Roquépine - Malesherbes;37;48.87345073390807,2.320404499769211
23302;Parc de Sceaux - Centre-Ville;33;48.7769529826096,2.2957214713096623
11103;Pelée - Alphonse Baudin;38;48.8600265,2.3710541
10017;Gare de l'Est - Fidélité;15;48.874575,2.356796
5107;Pontoise - La Tournelle;23;48.85045800918843,2.352454275492188
16101;Malakoff - Place de la Porte Maillot;31;48.876733496637506,2.2834577411413193
12043;Daumesnil - Hébrard;40;48.8429,2.38474
19108;Gaston Tessier - Rosa Parks RER;37;48.8963765,2.3743692
11102_relais;Alexandre Dumas - Voltaire;0;48.85307192707659,2.388419955968857
18007;Goutte d'or - Barbès;20;48.88512432362698,2.349696233868599
17111;Lemercier - Cardinet;24;48.890097168851746,2.317377626895905
15071;Suffren - Champ de Mars;23;48.8547194,2.2952168
15102;Square Bela Bartok;24;48.85120156830401,2.2846536710858345
2108;Vivienne - Montmartre;39;48.8713475973833,2.341458834707737
4019;Cloître Saint-Merri - Renard;32;48.85883544889818,2.351827919483185
15127;Place Charles Michels;37;48.846401,2.28502
6002;Saint-Benoît - Jacob;23;48.85545136013941,2.3334722220897675
16019;Porte de la Muette;36;48.86302317841182,2.2687188170157406
12036;Reuilly - Place Felix Eboue;42;48.84030274499962,2.394630398715453
4006;Bourdon - Pont Morland;0;48.8478103,2.3659356
18139;Poissonniers - Championnet;28;48.89543299733937,2.3530178144574165
15128;Cadix - Hameau;37;48.8340107632249,2.289516180753708
21309;Mairie d'Issy;41;48.8237677924683,2.27231115102768
1007;Turbigo - Française;16;48.86358858111446,2.3477794602513313
19002;Centquatre;42;48.88933353845543,2.3707854375243187
19201;Petit - Georges Thill;23;48.88603131999171,2.3895753175020222
10011;Bourse du Travail;17;48.868976638825686,2.362343855202198
23702;Hôtel de Ville de Chaville;20;48.80887149094033,2.188134044408798
1017;Saint-Honoré - 29 juillet;20;48.86557114282421,2.330567417577153
48007;Parc Départemental des Hautes-Bruyères;30;48.793457901398945,2.3509012162685394
16010;Belles Feuilles - Place de Mexico;23;48.86580474647378,2.282920628786087
6015;André Mazet - Saint-André des Arts;55;48.85375581057431,2.3390958085656166
8040;Pierre Charron - Champs-Elysées;32;48.870103359864174,2.3043501377105713
13116;Place du Docteur Yersin;50;48.82010494991975,2.3725583776831627
35013;Guillaume Tell - Parc Henri Barbusse;20;48.88958925894009,2.4198862910270695
31105;Lavoisier - Missak Manouchian;18;48.86286468896063,2.495676465332508
17110;Legendre - Nollet;30;48.887742186754224,2.320293079881375
21207;Verdier - République;29;48.81540376627718,2.3173937201499943
10031;Louis Blanc - Aqueduc;37;48.88203018259946,2.3635615780949593
15113;Arsonval - Falguière;25;48.84040040365445,2.313117867297474
13023;Bobillot - Moulin des Prés;28;48.828657346203094,2.353020646316964
17036;Place Tristan Bernard;28;48.8791964,2.2915403
10001;René Boulanger - Lancry;62;48.8685433,2.3600032
7007;Musée d'Orsay;65;48.85972615790874,2.325860448181629
8004;Malesherbes - Place de la Madeleine;67;48.87040602848252,2.323243509807989
4104;Sebastopol - Rambuteau;16;48.861818092669864,2.3501381278038025
17038;Grande Armée - Brunel;62;48.876116,2.288124
47007;Liberté - Vert-de-Maisons;20;48.79014780960843,2.43286281824112
8053;Place Georges Guillaumin;29;48.874750203956566,2.301771435325988
33017;Anatole France - President Roosevelt;29;48.9155156,2.3814103
44006;Concorde - Stalingrad;35;48.7985844,2.3821302
19120;Carducci - Place Hannah Arendt;27;48.877436681515796,2.3860743641853337
10024;Buisson Saint-Louis - Saint-Maur;19;48.87174684930295,2.3722528328789854
15110;Place Robert Guillemard;24;48.836191728066666,2.2811267160086417
14136;Auguste Cain - Jean Moulin;40;48.82577028927573,2.3210415244102482
10014;Marseille - Beaurepaire;55;48.871624306962985,2.3639265082738348
46001;Place Paul Eluard;19;48.7672039733195,2.4144977331161503
21301;Saint-Vincent - Verdun;34;48.819211549234495,2.254007756710053
12009;Charenton - Diderot;18;48.84617146118711,2.3793068155646324
12027;Montgallet - Charenton;16;48.84264777870052,2.386164927813738
22505;Mairie de La Garenne Colombes;22;48.90663823468682,2.24679596722126
13045;Jean Colly - Tolbiac;36;48.827817291597846,2.3705490678548813
7009;Assemblée Nationale;63;48.86141101465194,2.320121418520769
21109;Guichet - Jean Jaurès;28;48.905169868129036,2.3023840785026555
8012;Batignolles - Place de Clichy;47;48.88347453575669,2.326493114233017
15038;Place Adolphe Cherioux - Vaugirard;63;48.83959442800459,2.3010657727718353
16021;François Ponsard - La Muette;23;48.8583666,2.2744515
21001;Transvaal - Charles de Gaulle;27;48.848280403628806,2.2373420120857195
8019;Naples - Rome;26;48.879960700846226,2.321358695626259
4110;Neuve Saint-Pierre - Beautreillis;20;48.85355351439652,2.3639122769236565
17022;Pereire - Place de Wagram;46;48.887070607581215,2.304111124531457
7020;Champ de Mars - Cler;41;48.856691550115315,2.306646779179573
21311;Parvis Corentin Celton;55;48.82747252522725,2.2784319519996648
4011;Hôtel de Ville - Pont-Marie;36;48.85389964552738,2.356947250664234
17016;Brochant - Square des Batignolles;31;48.88818698581028,2.316861143151153
19031;Manin - Crimée;23;48.8831217743719,2.3863670602440834
31018;Gambetta - Michelet;33;48.85273792380526,2.429966032505036
2110;Jeûneurs - Mulhouse;28;48.868997,2.346925
20103;Le Vau - Maurice Bertaux;25;48.86803439043193,2.411030612453627
35008;Place de l'Eglise - Pantin;30;48.892809461520265,2.4124351143836975
22401;Charles de Gaulle - Plateau de Vanves;33;48.82233088973263,2.298571803412886
18142;Jessaint - Marx Dormoy;30;48.88484543106364,2.358930408954621
21017;Place Marcel Sembat;56;48.83328865030686,2.2441747784614567
48009;République - Auguste Perret;30;48.78695280952244,2.3518594354391094
31026;Demi-Lune - Aristide Briand;20;48.87626381919953,2.4562818557024
19025;Botzaris - Crimée;21;48.87959698690176,2.3887913337477067
20039;Belleville - Couronnes;50;48.86883108287741,2.380986213684082
17039;Place Saint-Ferdinand;38;48.87815529789739,2.288518047864942
42003;Place de l'Insurrection d'Août 1944;30;48.81477852751594,2.398074567317963
16030;Place de Barcelone - Mirabeau;55;48.84762302736417,2.2735664248466496
16020;Place de la Porte de Passy;36;48.857341095470794,2.2644165538827115
8549;George V - Christophe Colomb;24;48.87046,2.30104
11021;Charonne - Pierre Bayle;23;48.858445054261914,2.39039812238911
8037;Monceau - Malesherbes;38;48.8795079,2.3145456
27004;Gare de la Garenne-Colombes;28;48.909752,2.239145
17108;Bessières - Porte de Clichy;33;48.89611762451474,2.31790903955698
1021;Halles - Bourdonnais;20;48.86044899257468,2.3460162431001663
9006;Dunkerque - Trudaine;16;48.88215166773376,2.3463253676891327
31005;Square Denise Buisson;45;48.8562322730982,2.426436245441437
8116;Champs-Elysees - Bassano;25;48.87181180781605,2.3002389818429947
15039;Abbé Groult - Convention;12;48.83596927866069,2.302064039509349
2112;Bibliothèque Nationale - Richelieu;17;48.868288993515,2.3380893096328
9007;Condorcet - Turgot;20;48.87985155789093,2.345232367515564
33103;Jean Jaurès - Jules Jacquemin;24;48.88433053604843,2.4082902455152104
15008;Sèvres - Lecourbe;62;48.8447677,2.3110086
1006;Grande Truanderie - Saint-Denis;33;48.8626302,2.3498075
16013;Mairie du 16ème;35;48.863936848471994,2.2765953093767166
6104;Herschel - Observatoire;37;48.84342376221923,2.3376645147800446
4007;Place de la Bastille - Bourdon;35;48.852364355271085,2.368108928203583
2102;Saint-Marc - Feydeau;37;48.870310661421705,2.341979183256626
10202;Bichat - Grange aux Belles;30;48.873688,2.365015
18135;Ney - Porte de Montmartre;24;48.897918,2.3364872
18021;Marcadet - Ramey;21;48.890875,2.3449019
20013;Alexandre Dumas - Place de la Réunion;45;48.85533710742046,2.3997703687646292
11018;Saint-Maur - République;38;48.86418586145509,2.378317415714264
12039;Général Michel Bizot - Claude Decaen;38;48.83481262982544,2.400927788127704
44009;Gare RER les Ardoines;49;48.78385636346727,2.407909371747126
18047;St-Ouen - Lamarck;45;48.891083040295555,2.326735694839291
22005;Charles de Gaulle - Madrid;22;48.884432270367995,2.2608044743537907
17127;Porte de Clichy - Place des Nations Unies;40;48.896737263309504,2.310542999196392
20143;Ramponeau - Belleville;44;48.871031137596006,2.3790568521139748
17044;Porte de Saint-Ouen - Bessières;42;48.89792240854517,2.32851451022192
16138;Saint-Cloud - Hippodrome;30;48.85772148887421,2.2549109905958176
8048;Marceau - Chaillot;21;48.86883394989261,2.2989967837929726
17008;Porte Pouchet-Bessières;23;48.8978765,2.3230632
10107;Gare du Nord - Hôpital Lariboisière;49;48.881949,2.352339
